pool,typ,anrede,name,email,firma,position,telefon,partner,partner_logo
"Partner · neuland.ai",ehrengast,,,,,,,"neuland.ai","https://thecircle.planyvo.com/assets/partner-neuland-neg.png"
"Partner · neuland.ai",ehrengast,,,,,,,"neuland.ai","https://thecircle.planyvo.com/assets/partner-neuland-neg.png"
"Partner · neuland.ai",ehrengast,,,,,,,"neuland.ai","https://thecircle.planyvo.com/assets/partner-neuland-neg.png"
"Partner · neuland.ai",ehrengast,,,,,,,"neuland.ai","https://thecircle.planyvo.com/assets/partner-neuland-neg.png"
"Partner · Conrad",ehrengast,,,,,,,"Conrad","https://thecircle.planyvo.com/assets/partner-conrad-neg.png"
"Partner · Conrad",ehrengast,,,,,,,"Conrad","https://thecircle.planyvo.com/assets/partner-conrad-neg.png"
"Partner · Conrad",ehrengast,,,,,,,"Conrad","https://thecircle.planyvo.com/assets/partner-conrad-neg.png"
"Partner · Conrad",ehrengast,,,,,,,"Conrad","https://thecircle.planyvo.com/assets/partner-conrad-neg.png"
"Partner · Dein Dach",ehrengast,,,,,,,"Dein Dach","https://thecircle.planyvo.com/assets/partner-deindach-neg.png"
"Partner · Dein Dach",ehrengast,,,,,,,"Dein Dach","https://thecircle.planyvo.com/assets/partner-deindach-neg.png"
"Partner · Dein Dach",ehrengast,,,,,,,"Dein Dach","https://thecircle.planyvo.com/assets/partner-deindach-neg.png"
"Partner · Dein Dach",ehrengast,,,,,,,"Dein Dach","https://thecircle.planyvo.com/assets/partner-deindach-neg.png"
"Partner · DEKRA",ehrengast,,,,,,,"DEKRA","https://thecircle.planyvo.com/assets/partner-dekra-neg.png"
"Partner · DEKRA",ehrengast,,,,,,,"DEKRA","https://thecircle.planyvo.com/assets/partner-dekra-neg.png"
"Partner · DEKRA",ehrengast,,,,,,,"DEKRA","https://thecircle.planyvo.com/assets/partner-dekra-neg.png"
"Partner · DEKRA",ehrengast,,,,,,,"DEKRA","https://thecircle.planyvo.com/assets/partner-dekra-neg.png"
"Partner · jto",ehrengast,,,,,,,"jto","https://thecircle.planyvo.com/assets/partner-jto-neg.png"
"Partner · jto",ehrengast,,,,,,,"jto","https://thecircle.planyvo.com/assets/partner-jto-neg.png"
"Partner · jto",ehrengast,,,,,,,"jto","https://thecircle.planyvo.com/assets/partner-jto-neg.png"
"Partner · jto",ehrengast,,,,,,,"jto","https://thecircle.planyvo.com/assets/partner-jto-neg.png"
"Partner · Merzenich",ehrengast,,,,,,,"Merzenich","https://thecircle.planyvo.com/assets/partner-merzenich-neg.png"
"Partner · Merzenich",ehrengast,,,,,,,"Merzenich","https://thecircle.planyvo.com/assets/partner-merzenich-neg.png"
"Partner · Merzenich",ehrengast,,,,,,,"Merzenich","https://thecircle.planyvo.com/assets/partner-merzenich-neg.png"
"Partner · Merzenich",ehrengast,,,,,,,"Merzenich","https://thecircle.planyvo.com/assets/partner-merzenich-neg.png"
"Partner · sion",ehrengast,,,,,,,"sion","https://thecircle.planyvo.com/assets/partner-sion-neg.png"
"Partner · sion",ehrengast,,,,,,,"sion","https://thecircle.planyvo.com/assets/partner-sion-neg.png"
"Partner · sion",ehrengast,,,,,,,"sion","https://thecircle.planyvo.com/assets/partner-sion-neg.png"
"Partner · sion",ehrengast,,,,,,,"sion","https://thecircle.planyvo.com/assets/partner-sion-neg.png"
"Partner · SKS",ehrengast,,,,,,,"SKS","https://thecircle.planyvo.com/assets/partner-sks-neg.png"
"Partner · SKS",ehrengast,,,,,,,"SKS","https://thecircle.planyvo.com/assets/partner-sks-neg.png"
"Partner · SKS",ehrengast,,,,,,,"SKS","https://thecircle.planyvo.com/assets/partner-sks-neg.png"
"Partner · SKS",ehrengast,,,,,,,"SKS","https://thecircle.planyvo.com/assets/partner-sks-neg.png"
"Partner · fuchsrohrbach",ehrengast,,,,,,,"fuchsrohrbach","https://thecircle.planyvo.com/assets/partner-fuchsrohrbach-neg.png"
"Partner · fuchsrohrbach",ehrengast,,,,,,,"fuchsrohrbach","https://thecircle.planyvo.com/assets/partner-fuchsrohrbach-neg.png"
"Partner · fuchsrohrbach",ehrengast,,,,,,,"fuchsrohrbach","https://thecircle.planyvo.com/assets/partner-fuchsrohrbach-neg.png"
"Partner · fuchsrohrbach",ehrengast,,,,,,,"fuchsrohrbach","https://thecircle.planyvo.com/assets/partner-fuchsrohrbach-neg.png"
"Partner · SMARTVELO",ehrengast,,,,,,,"SMARTVELO","https://thecircle.planyvo.com/assets/partner-smartvelo-neg.png"
"Partner · SMARTVELO",ehrengast,,,,,,,"SMARTVELO","https://thecircle.planyvo.com/assets/partner-smartvelo-neg.png"
"Partner · SMARTVELO",ehrengast,,,,,,,"SMARTVELO","https://thecircle.planyvo.com/assets/partner-smartvelo-neg.png"
"Partner · SMARTVELO",ehrengast,,,,,,,"SMARTVELO","https://thecircle.planyvo.com/assets/partner-smartvelo-neg.png"
